Run Date,Thursday, September 7, 2023 5:23 PM,
Process Type,Picking,,,
Operator,Molecular Devices,,,
,,,,
,,,,
Annotations:,,,,
Date,Operator,Annotation,,
Thursday, September 7, 2023 5:23 PM,Molecular Devices,Picking carried out on 9/7/2023 at 5:23:36 PM by Molecular Devices
,,,,
,,,,
,,,,
Source Barcode,Feature Position X,Feature Position Y,Destination Barcode,Destination Well
SDSOURCE270920231005051+,12.2174,31.1549,Auto63829704150131206215,A1
SDSOURCE270920231005051+,14.8522,19.6648,Auto63829704150131206215,A2
SDSOURCE270920231005051+,71.9635,18.9378,Auto63829704150131206215,A3
SDSOURCE270920231005051+,66.9319,17.7032,Auto63829704150131206215,A4
SDSOURCE270920231005051+,25.6403,17.6839,Auto63829704150131206215,A5
SDSOURCE270920231005052%,59.0286,15.7129,Auto63829704150131206215,A6
SDSOURCE270920231005052%,25.3018,15.0501,Auto63829704150131206215,A7
SDSOURCE2709202310050530,64.9997,13.8096,Auto63829704150131206215,A8
SDSOURCE2709202310050530,58.8962,13.7789,Auto63829704150131206215,A9
SDSOURCE2709202310050530,26.8635,13.2753,Auto63829704150131206215,A10
SDSOURCE2709202310050530,40.0429,12.6884,Auto63829704150131206215,A11
SDSOURCE2709202310050541,51.1277,9.36007,Auto63829704150131206215,A12
SDSOURCE2709202310050541,40.3234,9.32342,Auto63829704150131206215,B1
SDSOURCE2709202310050552,41.0497,7.70329,Auto63829704150131206215,B2
SDSOURCE2709202310050552,52.132,7.05112,Auto63829704150131206215,B3
SDSOURCE2709202310050552,34.8602,6.87712,Auto63829704150131206215,B4
SDSOURCE2709202310050552,40.0778,6.6544,Auto63829704150131206215,B5
SDSOURCE2709202310050563,37.1303,6.17026,Auto63829704150131206215,B6
SDSOURCE2709202310050563,41.6811,5.43488,Auto63829704150131206215,B7
SDSOURCE2709202310050574,68.8542,70.7154,Auto63829704150131206215,B8
SDSOURCE2709202310050574,25.8748,67.9634,Auto63829704150131206215,B9
SDSOURCE2709202310050596,75.1272,65.4732,Auto63829704150131206215,B10
SDSOURCE2709202310050510+,17.4629,62.2817,Auto63829704150131206215,B11
SDSOURCE2709202310050510+,10.2275,61.811,Auto63829704150131206215,B12
SDSOURCE2709202310050510+,8.83597,58.4522,Auto63829704150131206215,C1
SDSOURCE270920231005051+,78.0933,55.9612,Auto63829704150131206215,A1
SDSOURCE270920231005051+,11.8795,46.518,Auto63829704150131206215,A2
SDSOURCE270920231005051+,7.6782,31.7518,Auto63829704150131206215,A3
SDSOURCE270920231005051+,14.0426,29.5978,Auto63829704150131206215,A4
SDSOURCE270920231005051+,10.2909,28.1408,Auto63829704150131206215,A5
SDSOURCE270920231005052%,67.9986,27.6146,Auto63829704150131206215,A6
SDSOURCE270920231005052%,74.7366,25.3964,Auto63829704150131206215,A7
SDSOURCE2709202310050530,75.5227,21.4582,Auto63829704150131206215,A8
SDSOURCE2709202310050530,21.9843,13.05,Auto63829704150131206215,A9
SDSOURCE2709202310050530,24.1287,11.8778,Auto63829704150131206215,A10
SDSOURCE2709202310050530,46.6015,10.0811,Auto63829704150131206215,A11
SDSOURCE2709202310050541,45.044,8.74332,Auto63829704150131206215,A12
SDSOURCE2709202310050541,45.5453,5.4604,Auto63829704150131206215,B1
SDSOURCE2709202310050552,15.3285,64.997,Auto63829704150131206215,B2
SDSOURCE2709202310050552,11.1483,35.8411,Auto63829704150131206215,B3
SDSOURCE2709202310050552,30.0143,16.519,Auto63829704150131206215,B4
SDSOURCE2709202310050552,41.7266,16.4543,Auto63829704150131206215,B5
SDSOURCE2709202310050563,69.942,16.2737,Auto63829704150131206215,B6
SDSOURCE2709202310050563,36.1336,16.1254,Auto63829704150131206215,B7
SDSOURCE2709202310050574,48.5996,16.1408,Auto63829704150131206215,B8
SDSOURCE2709202310050574,31.9595,15.7966,Auto63829704150131206215,B9
SDSOURCE2709202310050596,25.276,15.0702,Auto63829704150131206215,B10
SDSOURCE2709202310050510+,45.9967,14.9635,Auto63829704150131206215,B11
SDSOURCE2709202310050510+,33.6133,15.1513,Auto63829704150131206215,B12
SDSOURCE2709202310050510+,43.7332,14.8276,Auto63829704150131206215,C1
