Run Date,Thursday, September 7, 2023 5:23 PM,
Process Type,Picking,,,
Operator,Molecular Devices,,,
,,,,
,,,,
Annotations:,,,,
Date,Operator,Annotation,,
Thursday, September 7, 2023 5:23 PM,Molecular Devices,Picking carried out on 9/7/2023 at 5:23:36 PM by Molecular Devices
,,,,
,,,,
,,,,
Source Barcode,Feature Position X,Feature Position Y,Destination Barcode,Destination Well
Auto63829703203485276610,12.2174,31.1549,Auto63829704150131206215,A1
Auto63829703203485276610,14.8522,19.6648,Auto63829704150131206215,A2
Auto63829703203485276610,71.9635,18.9378,Auto63829704150131206215,A3
Auto63829703203485276610,66.9319,17.7032,Auto63829704150131206215,A4
Auto63829703203485276610,25.6403,17.6839,Auto63829704150131206215,A5
Auto63829703203485276610,59.0286,15.7129,Auto63829704150131206215,A6
Auto63829703203485276610,25.3018,15.0501,Auto63829704150131206215,A7
Auto63829703203485276610,64.9997,13.8096,Auto63829704150131206215,A8
Auto63829703203485276610,58.8962,13.7789,Auto63829704150131206215,A9
Auto63829703203485276610,26.8635,13.2753,Auto63829704150131206215,A10
Auto63829703203485276610,40.0429,12.6884,Auto63829704150131206215,A11
Auto63829703203485276610,51.1277,9.36007,Auto63829704150131206215,A12
Auto63829703203485276610,40.3234,9.32342,Auto63829704150131206215,B1
Auto63829703203485276610,41.0497,7.70329,Auto63829704150131206215,B2
Auto63829703203485276610,52.132,7.05112,Auto63829704150131206215,B3
Auto63829703203485276610,34.8602,6.87712,Auto63829704150131206215,B4
Auto63829703203485276610,40.0778,6.6544,Auto63829704150131206215,B5
Auto63829703203485276610,37.1303,6.17026,Auto63829704150131206215,B6
Auto63829703203485276610,41.6811,5.43488,Auto63829704150131206215,B7
Auto63829703203485276611,68.8542,70.7154,Auto63829704150131206215,B8
Auto63829703203485276611,25.8748,67.9634,Auto63829704150131206215,B9
Auto63829703203485276611,75.1272,65.4732,Auto63829704150131206215,B10
Auto63829703203485276611,17.4629,62.2817,Auto63829704150131206215,B11
Auto63829703203485276611,10.2275,61.811,Auto63829704150131206215,B12
Auto63829703203485276611,8.83597,58.4522,Auto63829704150131206215,C1
Auto63829703203485276611,78.0933,55.9612,Auto63829704150131206215,C2
